epoch	time	lr	train loss	train acc	test acc
Namespace(dataset='imagenet', arch='vit', outdir='output/aug_mixup', workers=4, epochs=400, batch=1024, lr=0.1, lr_step_size=30, gamma=0.05, use_mixup=True, data_aug=True, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
131	0:0	6.25e-07	5.08	0.0	33.8
132	0:0	6.25e-07	5.07	0.0	33.8
133	0:0	6.25e-07	5.08	0.0	33.8
134	0:0	6.25e-07	5.07	0.0	33.9
135	0:0	6.25e-07	5.07	0.0	33.8
136	0:0	6.25e-07	5.07	0.0	33.8
137	0:0	6.25e-07	5.09	0.0	33.8
138	0:0	6.25e-07	5.11	0.0	33.9
139	0:0	6.25e-07	5.09	0.0	33.8
140	0:0	6.25e-07	5.08	0.0	33.9
141	0:0	6.25e-07	5.1	0.0	33.8
142	0:0	6.25e-07	5.07	0.0	33.8
143	0:0	6.25e-07	5.12	0.0	33.8
144	0:0	6.25e-07	5.1	0.0	33.9
145	0:0	6.25e-07	5.04	0.0	33.8
146	0:0	6.25e-07	5.09	0.0	33.8
147	0:0	6.25e-07	5.08	0.0	33.8
148	0:0	6.25e-07	5.07	0.0	33.8
149	0:0	6.25e-07	5.07	0.0	33.9
150	0:0	1.56e-09	5.09	0.0	33.8
151	0:0	3.13e-08	5.09	0.0	33.8
152	0:0	3.13e-08	5.08	0.0	33.8
153	0:0	3.13e-08	5.09	0.0	33.8
154	0:0	3.13e-08	5.07	0.0	33.8
155	0:0	3.13e-08	5.07	0.0	33.8
156	0:0	3.13e-08	5.08	0.0	33.8
157	0:0	3.13e-08	5.08	0.0	33.8
158	0:0	3.13e-08	5.08	0.0	33.8
159	0:0	3.13e-08	5.09	0.0	33.8
160	0:0	3.13e-08	5.07	0.0	33.8
161	0:0	3.13e-08	5.08	0.0	33.8
162	0:0	3.13e-08	5.07	0.0	33.8
163	0:0	3.13e-08	5.11	0.0	33.8
164	0:0	3.13e-08	5.07	0.0	33.8
165	0:0	3.13e-08	5.08	0.0	33.8
166	0:0	3.13e-08	5.07	0.0	33.8
167	0:0	3.13e-08	5.11	0.0	33.8
168	0:0	3.13e-08	5.08	0.0	33.8
169	0:0	3.13e-08	5.09	0.0	33.8
170	0:0	3.13e-08	5.09	0.0	33.8
171	0:0	3.13e-08	5.08	0.0	33.8
172	0:0	3.13e-08	5.06	0.0	33.9
173	0:0	3.13e-08	5.08	0.0	33.8
174	0:0	3.13e-08	5.08	0.0	33.8
175	0:0	3.13e-08	5.06	0.0	33.8
176	0:0	3.13e-08	5.06	0.0	33.8
177	0:0	3.13e-08	5.08	0.0	33.8
178	0:0	3.13e-08	5.12	0.0	33.8
179	0:0	3.13e-08	5.06	0.0	33.8
180	0:0	7.81e-11	5.07	0.0	33.8
181	0:0	1.56e-09	5.07	0.0	33.8
182	0:0	1.56e-09	5.09	0.0	33.8
183	0:0	1.56e-09	5.07	0.0	33.8
184	0:0	1.56e-09	5.1	0.0	33.8
185	0:0	1.56e-09	5.07	0.0	33.8
186	0:0	1.56e-09	5.08	0.0	33.8
187	0:0	1.56e-09	5.09	0.0	33.8
188	0:0	1.56e-09	5.11	0.0	33.8
189	0:0	1.56e-09	5.08	0.0	33.8
190	0:0	1.56e-09	5.09	0.0	33.8
191	0:0	1.56e-09	5.08	0.0	33.9
192	0:0	1.56e-09	5.1	0.0	33.8
193	0:0	1.56e-09	5.1	0.0	33.8
194	0:0	1.56e-09	5.07	0.0	33.8
195	0:0	1.56e-09	5.07	0.0	33.8
