epoch	time	lr	train loss	train acc	testloss	test acc
Namespace(dataset='imagenet', arch='pretrained-vit', outdir='output/pretrained_sigma0.25', path=None, workers=4, epochs=150, batch=1024, lr=0.001, lr_step_size=30, gamma=0.05, use_mixup=False, data_aug=False, momentum=0.9, weight_decay=0.0001, noise_sd=0.25, gpu=None, print_freq=10)
111	0:0	1.25e-07	1.23	71.7	74.1
112	0:0	1.25e-07	1.24	71.6	74.1
113	0:0	1.25e-07	1.24	71.6	73.9
114	0:0	1.25e-07	1.25	71.3	74.0
115	0:0	1.25e-07	1.25	71.4	74.2
116	0:0	1.25e-07	1.24	71.3	74.2
117	0:0	1.25e-07	1.24	71.3	74.1
118	0:0	1.25e-07	1.23	71.7	73.9
119	0:0	1.25e-07	1.24	71.6	74.0
120	0:0	3.13e-10	1.25	71.3	73.9
121	0:0	6.25e-09	1.24	71.6	74.1
122	0:0	6.25e-09	1.23	71.8	74.0
123	0:0	6.25e-09	1.25	71.4	73.9
124	0:0	6.25e-09	1.23	71.5	73.9
125	0:0	6.25e-09	1.24	71.4	74.1
126	0:0	6.25e-09	1.25	71.4	74.0
127	0:0	6.25e-09	1.24	71.6	74.0
128	0:0	6.25e-09	1.24	71.4	73.8
129	0:0	6.25e-09	1.25	71.4	74.1
130	0:0	6.25e-09	1.25	71.3	74.0
131	0:0	6.25e-09	1.24	71.3	74.0
132	0:0	6.25e-09	1.25	71.4	74.0
133	0:0	6.25e-09	1.24	71.4	74.0
134	0:0	6.25e-09	1.24	71.6	73.9
135	0:0	6.25e-09	1.24	71.5	73.9
136	0:0	6.25e-09	1.24	71.3	74.0
137	0:0	6.25e-09	1.25	71.4	73.8
138	0:0	6.25e-09	1.24	71.4	73.7
139	0:0	6.25e-09	1.24	71.5	74.1
140	0:0	6.25e-09	1.24	71.5	74.1
141	0:0	6.25e-09	1.24	71.5	73.9
142	0:0	6.25e-09	1.24	71.4	74.0
143	0:0	6.25e-09	1.24	71.5	74.1
144	0:0	6.25e-09	1.25	71.4	74.1
145	0:0	6.25e-09	1.25	71.4	74.0
146	0:0	6.25e-09	1.25	71.3	74.1
147	0:0	6.25e-09	1.24	71.5	74.3
148	0:0	6.25e-09	1.25	71.3	74.1
149	0:0	6.25e-09	1.25	71.3	74.1
